floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price,wallsMaterial
1,5.0,18.0,3.0,55.723379,37.628577,5600000,1
1,5.0,15.0,3.0,55.72598000000001,37.671031,4650000,1
1,5.0,11.9,1.5,55.735976,37.657817,2990000,1
1,7.0,18.4,3.0,55.786698,37.595321000000006,4390000,1
2,5.0,17.6,2.0,55.76789399999999,37.66592,4890000,1
5,9.0,21.5,3.0,55.784066,37.637425,8050000,1
5,9.0,21.5,3.0,55.784066,37.637425,8050000,1
1,3.0,29.0,6.0,55.76324,37.651825,15895000,2
5,8.0,28.8,6.5,55.776472,37.598869,10500000,1
1,5.0,25.2,2.0,55.735976,37.657817,4850000,1
5,9.0,29.0,7.0,55.775545,37.672118,8450000,2
2,9.0,29.5,5.8,55.777869,37.706712,8449999,1
5,8.0,28.8,7.0,55.776472,37.598869,10500000,1
12,30.0,30.0,10.0,55.75461800000001,37.524058,9500000,2
4,5.0,32.6,5.0,55.73478000000001,37.653909000000006,8000000,1
3,5.0,30.0,6.0,55.767165000000006,37.658356,9500000,1
9,12.0,31.0,7.2,55.731642,37.565614,11500000,3
2,9.0,31.0,6.0,55.733340000000005,37.662497,9900000,4
8,8.0,31.0,6.9,55.726046,37.581487,10800000,1
3,8.0,30.7,5.0,55.78908199999999,37.627795,8300000,1
7,9.0,32.0,5.8,55.791223,37.631532,8500000,1
2,5.0,30.3,5.4,55.783787,37.674741,8900000,1
8,8.0,32.0,7.0,55.726046,37.581487,10800000,1
3,6.0,32.3,6.0,55.73724300000001,37.641737,11000000,1
3,10.0,31.2,7.0,55.775894,37.595564,11500000,1
3,10.0,31.2,7.0,55.775894,37.595564,11500000,1
3,10.0,31.2,7.0,55.775894,37.595564,11500000,1
5,5.0,31.0,6.0,55.75677099999999,37.520734,8000000,1
2,5.0,30.0,6.0,55.762541000000006,37.67272,8500000,1
3,5.0,31.0,5.0,55.781565,37.591728,9000000,1
3,9.0,32.8,9.1,55.736757,37.658491,10500000,1
2,5.0,32.0,6.0,55.72985799999999,37.591288,10850000,1
2,9.0,31.0,6.0,55.723491,37.611329,11000000,5
4,8.0,31.6,5.0,55.77356999999999,37.62952,14500000,1
8,9.0,34.5,6.5,55.783367000000005,37.587173,9600000,1
5,9.0,33.0,5.6,55.774811,37.678559,8880000,5
5,8.0,33.4,10.0,55.747323,37.66203,9500000,1
1,12.0,34.7,10.0,55.771818,37.705185,6900000,4
4,9.0,33.2,7.7,55.782856,37.592321000000005,9400000,3
10,12.0,34.8,10.2,55.744784,37.680472,9500000,4
4,6.0,33.5,6.7,55.754583,37.594674,16500000,1
5,9.0,33.0,6.0,55.774811,37.678559,8900000,5
6,9.0,33.0,6.0,55.72164,37.606658,9999999,4
8,16.0,34.0,9.4,55.776006,37.646274,10500000,3
14,24.0,33.0,9.0,55.753154,37.594036,11000000,3
4,9.0,33.0,6.0,55.743634,37.640488,11500000,1
11,12.0,37.74,7.0,55.770811,37.591189,16600000,5
2,14.0,36.0,8.0,55.734151,37.61892,12000000,4
10,14.0,35.0,10.0,55.78038000000001,37.64524,10700000,4
3,8.0,36.1,8.5,55.767722,37.565973,11000000,1
9,12.0,36.0,10.0,55.764197,37.565245,11100000,4
10,12.0,37.45,10.0,55.770811,37.591189,16600000,5
1,9.0,36.9,7.8,55.761872,37.562676,9000000,1
3,5.0,35.3,6.7,55.74225500000001,37.662991,9200000,4
5,17.0,36.5,7.5,55.743041000000005,37.687659,9500000,3
12,17.0,37.8,8.0,55.743988,37.686545,10800000,3
10,12.0,35.0,10.0,55.740046,37.660889000000005,11500000,4
3,7.0,36.5,7.0,55.76797,37.573025,13500000,6
3,7.0,36.5,7.0,55.76797,37.573025,13500000,1
1,12.0,35.0,9.8,55.781109,37.641584,7950000,4
3,12.0,36.0,11.0,55.744784,37.680472,8200000,4
5,12.0,35.7,9.7,55.744662,37.686437,8300000,4
7,9.0,37.4,7.6,55.791876,37.624418,9350000,1
2,12.0,35.3,10.0,55.782284,37.589428000000005,9450000,3
8,14.0,36.0,8.0,55.788717000000005,37.629888,9800000,1
4,9.0,37.2,8.0,55.761872,37.562676,10900000,1
3,8.0,36.0,9.0,55.779692,37.668704,12200000,1
8,8.0,36.6,4.5,55.776472,37.598869,13999000,1
5,12.0,36.0,7.0,55.748665,37.57687,15900000,1
9,9.0,36.1,8.5,55.748741,37.585089,16500000,1
2,7.0,35.0,8.0,55.738951,37.58367,16400000,1
11,12.0,37.74,10.0,55.770811,37.591189,22000000,5
6,9.0,36.0,8.0,55.791876,37.624418,9990000,1
3,12.0,38.0,12.0,55.731642,37.565614,14500000,3
7,12.0,39.1,7.0,55.770811,37.591189,17600000,5
10,25.0,39.0,9.0,55.740015,37.68765,9750000,5
1,10.0,39.0,10.0,55.775834,37.644171,10900000,3
3,7.0,39.1,5.1,55.737096,37.677607,9350000,1
1,9.0,38.0,6.0,55.732286,37.672154,8100000,4
9,16.0,38.0,9.8,55.790651,37.640093,8900000,4
14,17.0,38.0,8.0,55.741166,37.682269,9900000,5
1,12.0,38.1,6.5,55.790514,37.632278,9250000,4
7,9.0,38.0,8.0,55.791876,37.624418,9350000,3
10,12.0,38.8,6.0,55.763417,37.547028000000005,9950000,4
5,7.0,39.4,5.3,55.768071,37.669306,10200000,1
9,17.0,38.7,7.3,55.743988,37.686545,11000000,3
8,14.0,39.0,6.0,55.722614,37.609236,12600000,4
12,12.0,39.2,4.1,55.770547,37.572136,13350000,4
4,7.0,39.0,10.0,55.730948,37.64401,21800000,5
8,12.0,38.0,10.0,55.773363,37.709021,8600000,3
17,17.0,38.0,7.1,55.74108,37.683877,8700000,3
5,12.0,38.0,10.0,55.775636,37.684587,10799000,1
2,14.0,38.0,8.6,55.73741,37.631757,13600000,1
8,9.0,38.0,7.0,55.731774,37.611455,13700000,1
34,36.0,38.0,12.0,55.75133,37.526887,11500000,5
50,65.0,40.0,8.0,55.751143000000006,37.533733000000005,20112960,5
50,65.0,40.0,8.0,55.751143000000006,37.533733000000005,20112960,5
51,65.0,40.0,8.0,55.751143000000006,37.533733000000005,20394000,5
52,65.0,40.0,8.0,55.751143000000006,37.533733000000005,20631940,5
3,8.0,42.7,5.0,55.773626,37.582071,12700000,1
5,14.0,40.14,10.0,55.77123100000001,37.642707,15052500,5
11,13.0,40.0,6.0,55.766116,37.567051,19990000,5
11,13.0,40.0,23.0,55.766116,37.567051,19990000,5
1,5.0,42.3,6.0,55.786252000000005,37.590138,10600000,4
5,12.0,40.0,7.0,55.77715500000001,37.706919,8100000,3
3,12.0,40.0,7.0,55.768061,37.678514,10000000,4
2,5.0,41.5,7.2,55.756715,37.553055,10000000,1
3,5.0,41.0,6.0,55.761943,37.564859000000006,10850000,1
24,42.0,40.0,10.0,55.75133,37.526887,11500000,5
9,14.0,42.0,8.3,55.778325,37.638647,12000000,1
4,5.0,42.6,5.8,55.731495,37.563934,12000000,1
1,3.0,42.0,5.0,55.771899,37.624094,12500000,1
1,9.0,40.1,7.0,55.726092,37.568614,12999990,4
6,13.0,40.0,8.7,55.73741,37.631757,13400000,1
3,5.0,40.4,5.8,55.752308,37.642905,14900000,1
2,9.0,42.5,8.0,55.727516,37.632457,15750000,1
7,8.0,42.4,5.4,55.722745,37.580786,15900000,1
5,12.0,40.0,10.0,55.766111,37.567869,17900000,5
5,8.0,40.0,9.0,55.745878000000005,37.601007,26483149,1
5,9.0,42.0,5.5,55.773768,37.68791,10500000,1
8,12.0,40.0,7.0,55.757197,37.559775,11000000,4
5,14.0,42.0,7.0,55.722614,37.609236,11100000,5
7,9.0,42.1,6.0,55.732666,37.56547,12500000,1
10,12.0,41.0,8.0,55.783235,37.588476,13000000,1
1,5.0,44.0,6.0,55.762936,37.57112,10300000,1
6,6.0,44.0,8.0,55.721731000000005,37.572899,21000000,5
6,12.0,44.4,8.0,55.77088199999999,37.571031,12400000,3
2,5.0,44.0,6.0,55.75937,37.538431,10699999,1
6,12.0,44.0,6.0,55.77088199999999,37.571031,12400000,3
8,9.0,43.0,6.0,55.764967000000006,37.56547,13900000,1
5,5.0,44.9,8.0,55.75704,37.657071,16500000,6
4,5.0,43.1,5.0,55.76096999999999,37.571597,10500000,1
7,14.0,44.8,6.0,55.722274,37.609757,11450000,5
6,12.0,44.4,7.0,55.77088199999999,37.571031,12400000,3
6,12.0,44.4,7.0,55.77088199999999,37.571031,12500000,4
3,9.0,44.7,6.0,55.726239,37.636554,13200000,3
3,44.0,46.0,16.5,55.77080600000001,37.564212,13950000,5
8,12.0,45.0,6.3,55.734126,37.671705,10990000,3
2,9.0,47.0,12.0,55.770076,37.57298,13000000,1
31,44.0,45.4,15.0,55.77080600000001,37.564212,14600000,5
37,44.0,45.6,20.0,55.77080600000001,37.564212,15000000,5
44,44.0,45.5,14.0,55.77080600000001,37.564212,18000000,5
6,8.0,45.0,6.0,55.78651,37.59348,13250000,1
